description_length,type,priority,estimated_days,story_points,num_comments,avg_comment_length,sprint_days_given,is_problematic
380,Improvement,Minor,0,1,,,4,1
14,Bug,Minor,0,1,,,9,1
575,Improvement,Minor,0,3,,,10,1
1562,Bug,Major,0,1,1,201.0000,13,1
126,Bug,Minor,0,1,1,334.0000,15,1
1381,Bug,Major,0,5,,,8,1
370,Improvement,Minor,0,2,,,23,1
253,Bug,Minor,0,1,1,104.0000,11,1
100,Improvement,Minor,0,2,,,12,1
109,Bug,Minor,0,1,,,29,1
163,Improvement,Minor,0,1,,,30,1
4311,Improvement,Minor,0,1,,,31,1
62,Bug,Blocker,0,1,,,9,1
723,Bug,Major,0,1,2,15.5000,61,1
93,Bug,Major,0,2,3,350.0000,66,1
108,Improvement,Minor,0,2,,,73,1
60,Story,Minor,0,5,1,91.0000,11,1
79,Story,Minor,0,3,,,11,1
634,Bug,Minor,0,1,4,247.5000,20,1
92,Story,Minor,0,1,,,11,1
114,Story,Minor,0,5,,,2,1
218,Story,Minor,0,3,,,16,1
312,Story,Minor,0,1,,,3,1
154,Improvement,Minor,0,1,,,5,1
216,Bug,Minor,0,1,,,5,1
961,Bug,Minor,0,1,,,18,1
104,Story,Minor,0,1,,,18,1
395,Story,Minor,0,1,,,5,1
336,Story,Minor,0,1,,,8,1
124,Story,Minor,0,5,,,21,1
177,Bug,Minor,0,2,,,21,1
121,Story,Minor,0,1,,,22,1
209,Story,Minor,0,3,,,9,1
698,Story,Minor,0,1,1,103.0000,10,1
9126,Bug,Minor,0,3,1,264.0000,12,1
145,Bug,Minor,0,3,6,136.0000,12,1
499,Bug,Minor,0,1,1,287.0000,12,1
130,Bug,Minor,0,5,,,25,1
74,Story,Minor,0,2,2,51.5000,39,1
106,Story,Minor,0,5,,,15,1
131,Story,Minor,0,1,,,28,1
0,Technical task,Minor,0,1,,,2,1
129,Story,Minor,0,3,,,2,1
302,Bug,Major,0,5,,,30,1
0,Bug,Minor,0,1,1,26.0000,4,1
9131,Bug,Minor,0,2,1,77.0000,18,1
96,Story,Minor,0,5,,,5,1
121,Story,Minor,0,3,,,8,1
110,Story,Minor,0,1,,,10,1
143,Story,Minor,0,1,2,142.5000,10,1
305,Story,Minor,0,1,1,218.0000,12,1
1221,Bug,Trivial,0,0,1,78.0000,12,1
73,Story,Minor,0,1,,,12,1
139,Story,Minor,0,3,,,13,1
202,Bug,Major,0,3,,,29,1
170,Story,Minor,1,2,,,16,1
0,Story,Minor,0,2,,,3,1
276,Bug,Minor,0,1,,,45,1
137,Story,Minor,0,0,1,296.0000,10,1
137,Story,Minor,0,2,1,109.0000,10,1
238,Story,Minor,0,3,2,263.0000,24,1
46,Bug,Minor,0,1,,,24,1
226,Story,Minor,0,3,,,11,1
138,Story,Minor,0,1,1,103.0000,11,1
125,Story,Minor,0,3,1,103.0000,11,1
141,Story,Minor,0,3,1,103.0000,12,1
135,Story,Minor,0,2,3,230.0000,26,1
123,Story,Minor,0,8,,,26,1
141,Story,Minor,0,3,1,101.0000,12,1
146,Story,Minor,0,5,1,27.0000,29,1
111,Story,Minor,0,5,2,84.0000,29,1
164,Story,Minor,0,3,1,27.0000,29,1
199,Story,Minor,0,2,1,44.0000,29,1
145,Story,Minor,0,5,,,43,1
339,Story,Minor,0,1,,,29,1
362,Story,Major,0,3,,,29,1
389,Bug,Blocker,0,3,,,2,1
99,Story,Minor,0,3,,,2,1
184,Story,Minor,0,5,,,3,1
91,Story,Minor,0,5,1,51.0000,32,1
84,Story,Minor,0,1,1,128.0000,32,1
432,Story,Minor,0,5,,,18,1
394,Story,Minor,0,0,,,18,1
137,Bug,Minor,0,3,,,22,1
0,Bug,Minor,0,1,,,8,1
1259,Bug,Minor,0,3,2,94.5000,8,1
544,Story,Minor,0,2,,,9,1
0,Story,Minor,0,1,,,11,1
521,Story,Minor,0,2,3,70.0000,12,1
145,Story,Minor,0,3,1,746.0000,12,1
86,Story,Minor,0,1,,,12,1
0,Story,Minor,0,3,,,12,1
738,Story,Major,0,8,,,26,1
4794,Bug,Major,0,3,,,15,1
135,Story,Minor,0,8,4,469.0000,12,1
208,Story,Minor,0,8,,,12,1
157,Story,Minor,0,5,,,54,1
189,Story,Minor,0,2,2,81.0000,19,1
171,Improvement,Minor,0,3,,,6,1
3183,Bug,Minor,0,2,,,7,1
145,Story,Minor,0,1,,,7,1
319,Bug,Major,0,2,,,8,1
226,Story,Minor,0,2,,,9,1
270,Story,Minor,0,1,,,9,1
262,Story,Minor,0,1,,,13,1
94,Story,Minor,0,3,,,14,1
310,Story,Minor,0,2,8,166.0000,14,1
255,Story,Minor,0,2,2,76.0000,14,1
141,Story,Minor,0,8,,,14,1
1075,Story,Major,0,1,,,31,1
166,Story,Minor,0,3,,,2,1
144,Story,Minor,0,5,,,16,1
110,Story,Minor,0,3,,,2,1
186,Story,Minor,0,1,,,8,1
314,Story,Minor,0,2,1,153.0000,8,1
328,Story,Minor,0,8,,,8,1
145,Technical task,Minor,0,2,,,9,1
132,Technical task,Minor,0,2,,,9,1
152,Technical task,Minor,0,2,,,9,1
157,Technical task,Minor,0,2,,,9,1
174,Story,Minor,0,8,,,9,1
728,Bug,Minor,0,3,1,485.0000,12,1
253,Story,Major,0,5,,,12,1
148,Story,Minor,0,8,,,13,1
165,Story,Minor,0,3,1,22.0000,14,1
150,Story,Minor,0,1,,,14,1
179,Story,Minor,0,5,,,14,1
143,Story,Minor,0,5,,,59,1
206,Story,Minor,0,3,,,15,1
170,Story,Minor,0,2,,,29,1
326,Story,Minor,0,3,,,29,1
218,Story,Minor,0,3,,,29,1
196,Story,Minor,0,3,,,29,1
102,Story,Minor,0,5,,,1,1
196,Story,Minor,0,1,,,16,1
136,Story,Minor,0,2,,,2,1
270,Story,Minor,0,3,,,2,1
146,Story,Minor,0,3,2,127.0000,16,1
517,Story,Minor,0,1,1,207.0000,64,1
176,Story,Minor,0,3,,,5,1
305,Story,Major,0,2,,,53,1
204,Story,Minor,0,8,,,9,1
566,Story,Minor,0,5,,,9,1
385,Story,Minor,0,5,,,9,1
164,Story,Minor,0,5,,,55,1
292,Story,Minor,0,8,,,12,1
143,Story,Minor,0,2,,,71,1
398,Bug,Major,0,5,1,16.0000,26,1
147,Story,Minor,0,5,4,160.2500,86,1
147,Story,Minor,0,3,,,58,1
157,Story,Minor,0,2,1,119.0000,27,1
154,Story,Minor,0,2,1,119.0000,27,1
156,Story,Minor,0,3,1,83.0000,41,1
144,Story,Minor,0,2,,,27,1
376,Story,Minor,0,5,,,41,1
232,Bug,Minor,0,2,,,58,1
196,Story,Minor,0,0,1,75.0000,87,1
57,Story,Minor,0,3,,,14,1
144,Story,Minor,0,5,1,99.0000,14,1
146,Story,Minor,0,3,,,14,1
0,Story,Minor,0,2,,,14,1
170,Story,Minor,0,3,1,109.0000,14,1
171,Story,Minor,0,5,,,28,1
97,Story,Minor,0,5,,,14,1
344,Bug,Minor,0,1,8,305.3750,14,1
347,Story,Minor,0,8,,,15,1
144,Story,Minor,0,1,1,165.0000,15,1
190,Bug,Minor,0,2,,,74,1
129,Bug,Major,0,3,,,15,1
226,Story,Minor,0,5,2,480.0000,43,1
177,Story,Minor,0,2,1,75.0000,43,1
98,Story,Minor,0,2,,,43,1
32,Story,Minor,0,2,,,43,1
91,Story,Minor,0,1,2,43.5000,43,1
77,Story,Minor,0,1,2,47.0000,43,1
216,Story,Minor,0,1,,,43,1
151,Story,Minor,0,2,,,43,1
170,Story,Minor,0,3,1,51.0000,2,1
354,Bug,Minor,0,3,1,113.0000,16,1
